org,max_slope,r2,intercept
p028_2_rep2,3.8308112259198794,0.9923229992625978,4.884824743734903
p028_1_rep1,3.594225190278558,0.9930383368323009,5.575898125069239
p028_3_rep3,3.59289775013979,0.9960213381666616,3.4948340166098735
DH_2_rep2,2.064893474041645,0.9901354589219187,16.471768136828953
DH_1_rep1,2.0212086258385553,0.987469680980063,17.023761994533285
DH_3_rep3,1.9209868953615754,0.9979932220609453,16.160322522452873
p041_3_rep3,0.41470436698872754,0.9594906657705106,0.2240014019562979
p093_2_rep2,0.3591328957248522,0.9973645956718739,-1.6334896067675497
p065_1_rep1,0.34308293768338527,0.9984917174790993,-0.4096300242822635
p076_3_rep3,0.33379085671200975,0.9989444876769851,-0.01698932141820938
p053_3_rep3,0.3124311381154715,0.994836672994237,-0.6906048536548139
p078_1_rep1,0.29764828202464644,0.9980192582594646,-1.0152243057716956
p093_1_rep1,0.2942090053014752,0.9994376614383325,-0.8396602910549528
p065_2_rep2,0.2911920958951837,0.9945841286922803,-0.47688699131315837
p053_2_rep2,0.2714615083780429,0.995319802385027,-0.6261435560070677
p078_2_rep2,0.2712201556255392,0.9977337653247165,-0.6594502358525115
p092_1_rep1,0.24660217487020691,0.9907614332127769,0.06169167589785271
p020_1_rep1,0.22397535432302607,0.970883294360366,-2.518510037467632
p091_3_rep3,0.22294960512488715,0.9970574456568905,-2.2017948879952267
p092_2_rep2,0.2143212442228959,0.9974467546841647,-1.2639383172263123
p078_3_rep3,0.21172670213348566,0.9989682345119228,-0.11282647689137967
p068_3_rep3,0.2110026438759758,0.9983805820058952,0.09620511950582
p080_1_rep1,0.20430510499401033,0.9979790301015765,-0.2531932152014011
p076_1_rep1,0.20333969398399698,0.9661483544622547,-1.6009270979089762
p076_2_rep2,0.2032793557958714,0.9869117361270221,0.12287459865743226
p041_2_rep2,0.20315867941962001,0.99110114734083965,-0.18253719690607234
p032_1_rep1,0.1856606048631335,0.9912250588766764,-2.5443750074442337
p008_3_rep3,0.18505722298187524,0.9524923486113585,0.2214470853256375
p068_1_rep1,0.18493654660562361,0.9962022070253161,-0.6325997421365267
p068_2_rep2,0.1843935029124912,0.9946191874892167,-0.4792401806500786
p080_2_rep2,0.18391079740748464,0.9979894768729682,-0.1777302545853793
p091_2_rep2,0.17920441873367124,0.9971948748056496,-0.12334543435464725
p093_3_rep3,0.17274823260420905,0.994320917416391,-0.22871602355169598
p091_1_rep1,0.1691279413166603,0.997038633172359,0.31082805466934205
p032_3_rep3,0.1620683733059397,0.9948486522711583,-2.14678657315386
p032_2_rep2,0.16140465323655573,0.9984929724374426,-1.2153660757850258
p053_1_rep1,0.1603789040384168,0.9311966300131981,-0.8777940259504633
p030_3_rep3,0.14553570975946648,0.9925632393084625,0.08441906009190948
p040_2_rep2,0.14191541847191755,0.9815417736192763,-0.11017159661384436
p040_3_rep3,0.1415533893431625,0.9835276822050455,0.3573286849849734
p008_2_rep2,0.14143271296691093,0.9062593056065659,0.49966647077377063
p030_1_rep1,0.138476141748746,0.967490845434565,0.029109054309912636
p008_1_rep1,0.1351575414018261,0.9705635442900857,0.8859113256964898
p020_3_rep3,0.13358874851055438,0.9817690203131693,-0.4213758582374116
p040_1_rep1,0.13244232293616442,0.9933624981143461,-0.17342613049907313
p041_1_rep1,0.13105454460927074,0.96369004494076,-0.08338144108598165
p056_1_rep1,0.12749459150984754,0.9984905947308726,-0.3277108775367817
p056_2_rep2,0.12556376948982154,0.9956811887767011,0.20994260412298077
EV_3_rep3,0.12134009632101445,0.9978983238491138,0.01774536221288479
p056_3_rep3,0.11723709952845865,0.9990483864778789,0.5139867340889731
p021_1_rep1,0.11693540858782965,0.9916018361412872,0.4872770294786046
p021_2_rep2,0.10275593437826318,0.9478989481803558,0.3358281772828081
p081_3_rep3,0.09551535180316555,0.992704526592468,-1.0157070112767042
p092_3_rep3,0.09056762037684865,0.936098786839224,1.6826972126272546
p030_2_rep2,0.08996423849559056,0.9935180116062633,0.6324909355680653
p065_3_rep3,0.08761104915868358,0.9819584171696855,0.8686546038925074
p081_2_rep2,0.08489583069302195,0.9964015807677175,-0.7834250997216883
p081_1_rep1,0.08175824491047956,0.9983035595344575,-0.5938827380891273
p090_1_rep1,0.07469867689975931,0.9524773477733083,-0.23826957000494958
EV_1_rep1,0.07397461864224948,0.995295924989074,-0.20126214795444924
p080_3_rep3,0.07047500373095213,0.9666480863888438,2.0595695356610975
p020_2_rep2,0.06679437425527761,0.9668401958218874,0.6287097424455139
EV_2_rep2,0.06136393732395415,0.9938604147615256,0.2009924395509849
p090_3_rep3,0.060639879066444274,0.99959093660672,-0.4130693010054351
p090_2_rep2,0.058166013353285896,0.9974697312305004,-0.4323372957469465
"NA_rep2",0.0019308220200261106,0.914285714285687,-3.028528628965773
